FID IID FA MO SEX AFF PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10
HG00320 HG00320 0 0 0 1 0.0117 -0.0237 0.0115 0.0175 -0.0119 -0.0694 0.0048 -0.0107 0.0024 0.0071
HG00321 HG00321 0 0 0 1 0.0120 -0.0230 0.0108 0.0161 -0.0139 -0.0783 0.0059 -0.0100 0.0156 0.0150
HG00323 HG00323 0 0 0 1 0.0116 -0.0234 0.0108 0.0177 -0.0180 -0.0910 0.0012 -0.0120 0.0072 0.0056
HG00324 HG00324 0 0 0 1 0.0117 -0.0233 0.0116 0.0165 -0.0209 -0.0945 -0.0001 -0.0103 0.0049 0.0120
HG00325 HG00325 0 0 0 1 0.0124 -0.0222 0.0116 0.0170 -0.0194 -0.0960 0.0017 -0.0089 0.0039 0.0110
HG00326 HG00326 0 0 0 1 0.0118 -0.0236 0.0123 0.0174 -0.0186 -0.0806 0.0060 -0.0099 -0.0070 -0.0007
HG00327 HG00327 0 0 0 1 0.0119 -0.0232 0.0104 0.0168 -0.0175 -0.0799 -0.0014 -0.0149 0.0103 0.0046
HG00328 HG00328 0 0 0 1 0.0118 -0.0243 0.0115 0.0164 -0.0151 -0.0768 0.0029 -0.0075 0.0141 0.0094
HG00329 HG00329 0 0 0 1 0.0116 -0.0247 0.0100 0.0170 -0.0163 -0.0660 0.0009 -0.0047 0.0151 0.0005
HG00330 HG00330 0 0 0 1 0.0115 -0.0234 0.0109 0.0175 -0.0163 -0.0714 0.0038 -0.0115 0.0005 0.0069
HG00331 HG00331 0 0 0 1 0.0117 -0.0242 0.0119 0.0164 -0.0156 -0.0702 0.0018 -0.0097 0.0112 -0.0011
HG00332 HG00332 0 0 0 1 0.0116 -0.0234 0.0098 0.0162 -0.0133 -0.0697 0.0049 -0.0018 0.0100 -0.0048
HG00334 HG00334 0 0 0 1 0.0116 -0.0249 0.0124 0.0179 -0.0128 -0.0711 0.0017 -0.0078 0.0030 0.0081
HG00335 HG00335 0 0 0 1 0.0119 -0.0240 0.0115 0.0186 -0.0158 -0.0773 0.0031 -0.0103 0.0050 0.0089
HG00336 HG00336 0 0 0 1 0.0117 -0.0232 0.0105 0.0167 -0.0208 -0.0774 0.0043 -0.0096 0.0088 0.0087
HG00337 HG00337 0 0 0 1 0.0116 -0.0252 0.0120 0.0187 -0.0137 -0.0626 0.0018 -0.0103 -0.0008 -0.0040
HG00338 HG00338 0 0 0 1 0.0114 -0.0245 0.0105 0.0185 -0.0151 -0.0823 0.0025 -0.0073 0.0100 0.0054
HG00339 HG00339 0 0 0 1 0.0119 -0.0229 0.0097 0.0169 -0.0158 -0.0744 0.0024 -0.0060 -0.0034 0.0134
HG00341 HG00341 0 0 0 1 0.0110 -0.0240 0.0082 0.0157 -0.0107 -0.0483 0.0031 -0.0063 -0.0004 -0.0062
HG00342 HG00342 0 0 0 1 0.0121 -0.0227 0.0108 0.0179 -0.0181 -0.0877 0.0048 -0.0097 0.0096 0.0092
HG00343 HG00343 0 0 0 1 0.0117 -0.0239 0.0116 0.0177 -0.0179 -0.0863 0.0043 -0.0118 0.0090 0.0089
HG00344 HG00344 0 0 0 1 0.0117 -0.0251 0.0096 0.0188 -0.0097 -0.0460 0.0037 -0.0022 -0.0041 -0.0058
HG00345 HG00345 0 0 0 1 0.0116 -0.0238 0.0108 0.0182 -0.0173 -0.0791 0.0007 -0.0078 0.0069 0.0141
HG00346 HG00346 0 0 0 1 0.0117 -0.0243 0.0123 0.0162 -0.0133 -0.0691 0.0036 -0.0080 0.0094 0.0106
HG00349 HG00349 0 0 0 1 0.0118 -0.0232 0.0095 0.0180 -0.0181 -0.0842 0.0033 -0.0053 0.0023 0.0075
HG00350 HG00350 0 0 0 1 0.0112 -0.0255 0.0113 0.0191 -0.0091 -0.0517 0.0032 -0.0071 -0.0020 -0.0042
HG00351 HG00351 0 0 0 1 0.0115 -0.0240 0.0114 0.0175 -0.0189 -0.0831 0.0048 -0.0063 0.0074 0.0212
HG00353 HG00353 0 0 0 1 0.0120 -0.0239 0.0106 0.0182 -0.0129 -0.0794 0.0034 -0.0123 0.0103 0.0068
HG00355 HG00355 0 0 0 1 0.0118 -0.0250 0.0110 0.0173 -0.0170 -0.0660 0.0027 -0.0040 -0.0018 0.0149
HG00356 HG00356 0 0 0 1 0.0116 -0.0242 0.0114 0.0176 -0.0185 -0.0770 0.0038 -0.0113 0.0049 0.0103
HG00357 HG00357 0 0 0 1 0.0120 -0.0244 0.0109 0.0174 -0.0165 -0.0758 0.0039 -0.0112 0.0095 0.0108
HG00358 HG00358 0 0 0 1 0.0116 -0.0230 0.0124 0.0165 -0.0192 -0.1033 0.0010 -0.0146 0.0051 0.0089
HG00360 HG00360 0 0 0 1 0.0115 -0.0246 0.0098 0.0178 -0.0146 -0.0737 0.0002 -0.0055 0.0097 0.0099
HG00361 HG00361 0 0 0 1 0.0121 -0.0224 0.0098 0.0160 -0.0225 -0.0951 0.0023 -0.0098 0.0183 0.0105
HG00362 HG00362 0 0 0 1 0.0116 -0.0235 0.0104 0.0170 -0.0155 -0.0767 0.0031 -0.0077 0.0079 0.0039
HG00364 HG00364 0 0 0 1 0.0118 -0.0235 0.0120 0.0178 -0.0155 -0.0804 0.0005 -0.0075 0.0062 0.0078
HG00365 HG00365 0 0 0 1 0.0116 -0.0232 0.0107 0.0164 -0.0204 -0.0905 0.0032 -0.0137 0.0090 0.0113
HG00366 HG00366 0 0 0 1 0.0116 -0.0231 0.0099 0.0145 -0.0146 -0.0770 0.0028 -0.0103 0.0113 0.0097
HG00367 HG00367 0 0 0 1 0.0121 -0.0227 0.0118 0.0171 -0.0146 -0.0682 0.0025 -0.0093 0.0059 0.0098
HG00368 HG00368 0 0 0 1 0.0119 -0.0226 0.0106 0.0161 -0.0217 -0.1021 0.0031 -0.0162 0.0046 0.0094
HG00369 HG00369 0 0 0 1 0.0121 -0.0235 0.0107 0.0161 -0.0149 -0.0895 0.0008 -0.0124 0.0119 0.0016
HG00371 HG00371 0 0 0 1 0.0117 -0.0232 0.0092 0.0170 -0.0152 -0.0740 0.0016 -0.0064 0.0073 0.0068
HG00372 HG00372 0 0 0 1 0.0123 -0.0243 0.0098 0.0172 -0.0195 -0.0748 0.0045 -0.0048 0.0131 0.0148
HG00373 HG00373 0 0 0 1 0.0121 -0.0223 0.0109 0.0149 -0.0172 -0.0895 0.0009 -0.0102 0.0035 0.0221
HG00375 HG00375 0 0 0 1 0.0117 -0.0237 0.0112 0.0169 -0.0179 -0.0862 0.0029 -0.0156 0.0059 0.0123
HG00376 HG00376 0 0 0 1 0.0118 -0.0252 0.0108 0.0175 -0.0177 -0.0685 0.0038 -0.0094 0.0047 0.0077
HG00378 HG00378 0 0 0 1 0.0118 -0.0235 0.0107 0.0180 -0.0167 -0.0839 0.0026 -0.0090 0.0037 0.0102
HG00379 HG00379 0 0 0 1 0.0119 -0.0238 0.0099 0.0150 -0.0134 -0.0802 0.0032 -0.0130 0.0079 0.0069
HG00380 HG00380 0 0 0 1 0.0112 -0.0256 0.0103 0.0189 -0.0105 -0.0558 0.0036 -0.0047 -0.0086 0.0017
HG00381 HG00381 0 0 0 1 0.0122 -0.0247 0.0104 0.0184 -0.0141 -0.0779 0.0012 -0.0085 0.0183 0.0116
HG00382 HG00382 0 0 0 1 0.0115 -0.0229 0.0109 0.0168 -0.0201 -0.0914 0.0007 -0.0057 0.0038 0.0116
HG00383 HG00383 0 0 0 1 0.0117 -0.0235 0.0112 0.0184 -0.0199 -0.0934 0.0027 -0.0111 0.0135 0.0100
HG00384 HG00384 0 0 0 1 0.0121 -0.0243 0.0109 0.0178 -0.0140 -0.0802 0.0029 -0.0111 0.0098 0.0037
HG00403 HG00403 0 0 0 1 0.0160 0.0341 0.0043 0.0141 -0.0026 -0.0034 -0.0008 -0.0035 0.0009 -0.0277
HG00404 HG00404 0 0 0 1 0.0167 0.0343 0.0048 0.0141 -0.0024 -0.0011 -0.0008 0.0033 -0.0072 -0.0378
HG00406 HG00406 0 0 0 1 0.0164 0.0348 0.0026 0.0161 0.0028 0.0034 -0.0013 0.0014 -0.0092 -0.0363
HG00407 HG00407 0 0 0 1 0.0164 0.0340 0.0020 0.0156 0.0042 0.0009 0.0006 0.0040 -0.0069 -0.0255
HG00409 HG00409 0 0 0 1 0.0168 0.0343 0.0061 0.0156 -0.0006 0.0023 -0.0008 -0.0009 -0.0033 -0.0350
